 Count  Overhead File                                                                                                      Line Function
 =====  ======== ====                                                                                                      ==== ========
   274       274 @Base/Base.jl                                                                                               33 getproperty
  9260         0 @Base/Base.jl                                                                                              368 include(::Module, ::String)
  9260         0 @Base/Base.jl                                                                                              380 include(::Function, ::Module, ::String)
     5         5 @Base/Base.jl                                                                                               34 setproperty!
    26        26 @Base/Base.jl                                                                                               34 setproperty!(::Progress, ::Symbol, ::Int64)
    26        26 @Base/Base.jl                                                                                               65 time_ns
     6         6 @Base/Base.jl                                                                                                ? unsafe_write(::Base.GenericIOBuffer{Array{UInt8,1}}, ::Ptr{UInt8}, ::UInt64)
   267         0 @Base/abstractarray.jl                                                                                    1083 _getindex
    27         0 @Base/abstractarray.jl                                                                                    1183 _setindex!
    68         0 @Base/abstractarray.jl                                                                                    1879 _sub2ind
    23         0 @Base/abstractarray.jl                                                                                    1895 _sub2ind
    23         0 @Base/abstractarray.jl                                                                                    1911 _sub2ind_recurse
    68         0 @Base/abstractarray.jl                                                                                    1089 _to_linear_index
    38         0 @Base/abstractarray.jl                                                                                      57 axes
   179         0 @Base/abstractarray.jl                                                                                      75 axes
    92         0 @Base/abstractarray.jl                                                                                      95 axes1
     3         0 @Base/abstractarray.jl                                                                                     485 checkbounds
   103       100 @Base/abstractarray.jl                                                                                     506 checkbounds
     3         0 @Base/abstractarray.jl                                                                                     532 checkbounds_indices
     3         0 @Base/abstractarray.jl                                                                                     563 checkindex
    37         0 @Base/abstractarray.jl                                                                                     840 copyto!
    53         0 @Base/abstractarray.jl                                                                                     840 copyto!(::SubArray{Union{Missing, UInt8},2,Array{Union{Missing, UInt8},2},Tuple{Array{Union{Nothing, Int64},1},Base.Slice{Base.OneTo{Int64}}},false}, ::Array{Union{Missing, UInt8},2})
    37         2 @Base/abstractarray.jl                                                                                     860 copyto_unaliased!(::IndexLinear, ::SubArray{Float32,2,Array{Float32,2},Tuple{Base.Slice{Base.OneTo{Int64}},UnitRange{Int64}},true}, ::IndexLinear, ::BitArray{2})
     2         0 @Base/abstractarray.jl                                                                                     878 copyto_unaliased!(::IndexCartesian, ::SubArray{Union{Missing, UInt8},2,Array{Union{Missing, UInt8},2},Tuple{Array{Union{Nothing, Int64},1},Base.Slice{Base.OneTo{Int64}}},false}, ::IndexLinear, ::Array{Union{Missing, UInt8},2})
    27         0 @Base/abstractarray.jl                                                                                     881 copyto_unaliased!(::IndexCartesian, ::SubArray{Union{Missing, UInt8},2,Array{Union{Missing, UInt8},2},Tuple{Array{Union{Nothing, Int64},1},Base.Slice{Base.OneTo{Int64}}},false}, ::IndexLinear, ::Array{Union{Missing, UInt8},2})
    14         0 @Base/abstractarray.jl                                                                                     882 copyto_unaliased!(::IndexCartesian, ::SubArray{Union{Missing, UInt8},2,Array{Union{Missing, UInt8},2},Tuple{Array{Union{Nothing, Int64},1},Base.Slice{Base.OneTo{Int64}}},false}, ::IndexLinear, ::Array{Union{Missing, UInt8},2})
    92         0 @Base/abstractarray.jl                                                                                     267 eachindex
   414         0 @Base/abstractarray.jl                                                                                    1060 getindex
    92         0 @Base/abstractarray.jl                                                                                     302 lastindex
    15         0 @Base/abstractarray.jl                                                                                    1918 offsetin
     1         0 @Base/abstractarray.jl                                                                                    1009 pointer
    27         0 @Base/abstractarray.jl                                                                                    1153 setindex!
    92         0 @Base/abstractarray.jl                                                                                     630 similar
     1         0 @Base/abstractarray.jl                                                                                     674 similar
     1         0 @Base/abstractarray.jl                                                                                     675 similar
    40         1 @Base/abstractdict.jl                                                                                      502 get!
     1         0 @Base/array.jl                                                                                             678 _array_for
     1         1 @Base/array.jl                                                                                             329 _copyto_impl!(::Array{UInt8,1}, ::Int64, ::Array{UInt8,1}, ::Int64, ::Int64)
    14         0 @Base/array.jl                                                                                             335 _copyto_impl!(::Array{UInt8,1}, ::Int64, ::Array{UInt8,1}, ::Int64, ::Int64)
    12        12 @Base/array.jl                                                                                             903 _deleteat!
     2         1 @Base/array.jl                                                                                             901 _deleteend!
  2079      2079 @Base/array.jl                                                                                             892 _growend!
     4         4 @Base/array.jl                                                                                               ? _range
   140       140 @Base/array.jl                                                                                               ? checked_trunc_sint
     3         3 @Base/array.jl                                                                                               ? collect(::Base.Generator{Array{UnitRange{Int64},1},GeneticVariation.VCF.var"#4#5"{GeneticVariation.VCF.Record}})
    28         0 @Base/array.jl                                                                                             686 collect(::Base.Generator{Array{Any,1},typeof(Pkg.TOML.table2dict)})
   391         0 @Base/array.jl                                                                                             691 collect(::Base.Generator{UnitRange{Int64},MendelImpute.var"#9#12"{Int64}})
   390         0 @Base/array.jl                                                                                             732 collect_to!(::Array{Array{Int32,1},1}, ::Base.Generator{UnitRange{Int64},MendelImpute.var"#9#12"{Int64}}, ::Int64, ::Int64)
   390         0 @Base/array.jl                                                                                             710 collect_to_with_first!
    14         0 @Base/array.jl                                                                                             326 copyto!
    12         0 @Base/array.jl                                                                                            1310 deleteat!
     2         0 @Base/array.jl                                                                                            1528 empty!
   185         0 @Base/array.jl                                                                                             357 fill!
     1         0 @Base/array.jl                                                                                            1861 findfirst
     1         0 @Base/array.jl                                                                                            1810 findnext
   107       107 @Base/array.jl                                                                                               ? getindex
  1011         0 @Base/array.jl                                                                                             413 getindex
 91806     91806 @Base/array.jl                                                                                             809 getindex
   475       475 @Base/array.jl                                                                                             810 getindex
    11         0 @Base/array.jl                                                                                             817 getindex
     1         1 @Base/array.jl                                                                                               ? handle_deserialize(::Serialization.Serializer{TranscodingStreams.TranscodingStream{GzipDecompressor,Base.GenericIOBuffer{Array{UInt8,1}}}}, ::Int32)
    40         0 @Base/array.jl                                                                                            2337 indexin(::Array{Int64,1}, ::Array{Int64,1})
     1         0 @Base/array.jl                                                                                            2339 indexin(::Array{Int64,1}, ::Array{Int64,1})
     1         1 @Base/array.jl                                                                                               ? iterate
    83         0 @Base/array.jl                                                                                             785 iterate
    47        47 @Base/array.jl                                                                                             219 length
    70        70 @Base/array.jl                                                                                               ? macro expansion
